time	Consigne en cours FIC0402
2015-11-24 07:34:30	1377.8975757575756
2015-11-24 07:36:10	1373.9904040404035
2015-11-24 07:37:50	1427.949797979798
2015-11-24 07:39:30	1455.6952525252527
2015-11-24 07:41:10	1440.869595959596
2015-11-24 07:42:50	1439.3803030303027
2015-11-24 07:44:30	1477.0440404040403
2015-11-24 07:46:10	1488.9961616161618
2015-11-24 07:47:50	1485.0761616161617
2015-11-24 07:49:30	1505.9996969696972
2015-11-24 07:51:10	1500.961717171717
2015-11-24 07:52:50	1461.9775757575758
2015-11-24 07:54:30	1442.8940404040402
2015-11-24 07:56:10	1450.8461616161615
2015-11-24 07:57:50	1428.9986868686867
2015-11-24 07:59:30	1395.5168686868687
2015-11-24 08:01:10	1389.9288888888889
2015-11-24 08:02:50	1448.8016161616163
2015-11-24 08:04:30	1510.3312121212123
2015-11-24 08:06:10	1514.4662626262627
2015-11-24 08:07:50	1515.641818181818
2015-11-24 08:09:30	1539.1767676767677
2015-11-24 08:11:10	1537.678585858586
2015-11-24 08:12:50	1503.9693939393942
2015-11-24 08:14:30	1448.8153535353536
2015-11-24 08:16:10	1416.6376767676768
2015-11-24 08:17:50	1431.30898989899
2015-11-24 08:19:30	1476.7220202020203
2015-11-24 08:21:10	1478.6091919191922
2015-11-24 08:22:50	1478.721717171717
2015-11-24 08:24:30	1500.4061616161616
2015-11-24 08:26:10	1516.4304040404038
2015-11-24 08:27:50	1510.078585858586
2015-11-24 08:29:30	1473.2829292929293
2015-11-24 08:31:10	1465.2410101010103
2015-11-24 08:32:50	1472.0840404040403
2015-11-24 08:34:30	1475.618181818182
2015-11-24 08:36:10	1487.5741414141414
2015-11-24 08:37:50	1522.3017171717172
2015-11-24 08:39:30	1573.6248484848481
2015-11-24 08:41:10	1573.4488888888886
2015-11-24 08:42:50	1582.9562626262625
2015-11-24 08:44:30	1662.0989898989899
2015-11-24 08:46:10	1714.467676767677
2015-11-24 08:47:50	1716.1203030303031
2015-11-24 08:49:30	1735.5836363636363
2015-11-24 08:51:10	1809.598383838384
2015-11-24 08:52:50	1820.920303030303
2015-11-24 08:54:30	1830.5527272727277
2015-11-24 08:56:10	1863.9054545454544
2015-11-24 08:57:50	1910.7865656565657
2015-11-24 08:59:30	1908.4801010101016
