time	Mesure débit FIC0802 - FT0702
2015-11-24 07:34:30	295.8168282828283
2015-11-24 07:36:10	330.8430101010101
2015-11-24 07:37:50	320.7611717171717
2015-11-24 07:39:30	306.50081818181815
2015-11-24 07:41:10	315.73398989898993
2015-11-24 07:42:50	330.94430303030305
2015-11-24 07:44:30	324.80595959595956
2015-11-24 07:46:10	318.20575757575756
2015-11-24 07:47:50	358.13914141414136
2015-11-24 07:49:30	336.6723737373737
2015-11-24 07:51:10	317.5054040404041
2015-11-24 07:52:50	306.0725050505051
2015-11-24 07:54:30	340.5368080808081
2015-11-24 07:56:10	323.76039393939396
2015-11-24 07:57:50	310.02474747474747
2015-11-24 07:59:30	322.19507070707067
2015-11-24 08:01:10	333.2894545454546
2015-11-24 08:02:50	314.8779393939394
2015-11-24 08:04:30	308.59076767676765
2015-11-24 08:06:10	296.16144444444444
2015-11-24 08:07:50	331.16393939393936
2015-11-24 08:09:30	316.7878181818182
2015-11-24 08:11:10	312.18070707070706
2015-11-24 08:12:50	301.75648484848483
2015-11-24 08:14:30	310.24337373737376
2015-11-24 08:16:10	328.37735353535356
2015-11-24 08:17:50	325.6338080808081
2015-11-24 08:19:30	329.5126060606061
2015-11-24 08:21:10	330.4689292929293
2015-11-24 08:22:50	365.27062626262625
2015-11-24 08:24:30	360.91580808080806
2015-11-24 08:26:10	354.3866161616161
2015-11-24 08:27:50	339.02004040404034
2015-11-24 08:29:30	337.2764343434344
2015-11-24 08:31:10	358.2811717171717
2015-11-24 08:32:50	342.5400000000001
2015-11-24 08:34:30	330.92563636363633
2015-11-24 08:36:10	358.3716969696969
2015-11-24 08:37:50	348.0295252525252
2015-11-24 08:39:30	341.7974646464647
2015-11-24 08:41:10	340.9865252525253
2015-11-24 08:42:50	359.24683838383834
2015-11-24 08:44:30	339.4907878787879
2015-11-24 08:46:10	321.06991919191915
2015-11-24 08:47:50	316.2934040404041
2015-11-24 08:49:30	323.74659595959605
2015-11-24 08:51:10	310.3704242424242
2015-11-24 08:52:50	288.4084242424242
2015-11-24 08:54:30	306.9370909090909
2015-11-24 08:56:10	300.2224646464647
2015-11-24 08:57:50	289.03767676767677
2015-11-24 08:59:30	270.31525252525256
2015-11-24 09:01:10	259.2742626262626
2015-11-24 09:02:50	242.06223232323234
2015-11-24 09:04:30	267.43530303030303
2015-11-24 09:06:10	264.6752121212121
2015-11-24 09:07:50	255.04025252525253
2015-11-24 09:09:30	262.62957575757576
2015-11-24 09:11:10	292.07256565656564
2015-11-24 09:12:50	283.2080707070707
2015-11-24 09:14:30	262.22036363636363
2015-11-24 09:16:10	278.48464646464646
2015-11-24 09:17:50	291.12153535353536
2015-11-24 09:19:30	282.439595959596
2015-11-24 09:21:10	266.65529292929295
2015-11-24 09:22:50	296.5814343434343
2015-11-24 09:24:30	291.74285858585864
2015-11-24 09:26:10	272.9527575757576
2015-11-24 09:27:50	267.3555959595959
2015-11-24 09:29:30	236.64692929292931
2015-11-24 09:31:10	229.85988888888886
2015-11-24 09:32:50	231.06624242424243
2015-11-24 09:35:06	264.0104141414141
2015-11-24 09:36:46	245.82769696969697
2015-11-24 09:38:26	240.68678787878787
2015-11-24 09:40:06	271.35685858585856
2015-11-24 09:41:46	270.3715555555556
2015-11-24 09:43:26	257.846898989899
2015-11-24 09:45:06	248.75874747474745
2015-11-24 09:46:46	206.91956565656565
2015-11-24 09:48:26	215.64175757575754
2015-11-24 09:50:06	209.5582828282829
2015-11-24 09:51:46	210.29560606060602
2015-11-24 09:53:26	210.68556565656567
2015-11-24 09:55:06	250.47230303030304
2015-11-24 09:56:46	252.6655858585858
2015-11-24 09:58:26	248.22620202020198
2015-11-24 10:00:06	242.70134343434347
2015-11-24 10:01:46	260.4357171717171
2015-11-24 10:03:26	280.42938383838384
2015-11-24 10:05:06	265.1056565656566
2015-11-24 10:06:46	259.06175757575755
2015-11-24 10:08:26	248.71362626262626
2015-11-24 10:10:06	234.42682828282832
2015-11-24 10:11:46	263.4387676767676
2015-11-24 10:13:26	258.98476767676766
2015-11-24 10:15:06	261.0789090909091
2015-11-24 10:16:46	256.86032323232325
2015-11-24 10:18:26	252.49010101010103
2015-11-24 10:20:06	249.05750505050506
2015-11-24 10:21:46	285.42354545454543
2015-11-24 10:23:26	268.9766161616162
2015-11-24 10:25:06	263.4676262626263
2015-11-24 10:26:46	256.8382323232323
2015-11-24 10:28:26	293.9155858585859
2015-11-24 10:30:06	286.2459696969697
2015-11-24 10:31:46	275.53190909090904
2015-11-24 10:33:26	271.2307171717172
2015-11-24 10:35:06	262.47960606060605
2015-11-24 10:36:46	287.6276262626263
2015-11-24 10:38:26	300.48595959595957
2015-11-24 10:40:06	283.37763636363644
2015-11-24 10:41:46	275.0702323232323
2015-11-24 10:43:26	265.739595959596
2015-11-24 10:45:06	303.4901717171717
2015-11-24 10:46:46	294.8295151515151
2015-11-24 10:48:26	286.76853535353536
2015-11-24 10:50:06	293.7319898989899
2015-11-24 10:51:46	328.7130707070707
2015-11-24 10:53:26	313.8742727272727
2015-11-24 10:55:06	305.2896161616162
2015-11-24 10:56:46	292.9647777777778
2015-11-24 10:58:26	320.1765454545455
2015-11-24 11:00:06	305.6140404040404
2015-11-24 11:01:46	295.0721919191919
2015-11-24 11:03:26	287.04659595959595
2015-11-24 11:05:06	288.0427272727273
2015-11-24 11:06:46	336.04679797979793
2015-11-24 11:08:26	319.86005050505054
2015-11-24 11:10:06	301.3636868686869
2015-11-24 11:11:46	284.0382828282828
2015-11-24 11:13:26	291.4759090909091
2015-11-24 11:15:06	311.24304040404036
2015-11-24 11:16:46	289.6505858585859
2015-11-24 11:18:26	279.4726464646464
2015-11-24 11:20:06	273.5303131313131
2015-11-24 11:21:46	309.6392626262627
2015-11-24 11:23:26	294.3426868686869
2015-11-24 11:25:06	245.85565656565655
2015-11-24 11:26:46	229.34418181818182
2015-11-24 11:28:26	247.60670707070705
2015-11-24 11:30:06	258.573101010101
2015-11-24 11:31:46	247.07479797979798
2015-11-24 11:33:26	240.72930303030302
2015-11-24 11:35:06	238.49039393939393
2015-11-24 11:36:46	273.435595959596
2015-11-24 11:38:26	258.17190909090914
2015-11-24 11:40:06	250.03332323232326
2015-11-24 11:41:46	243.49842424242422
2015-11-24 11:43:26	275.45982828282825
2015-11-24 11:45:06	281.356404040404
2015-11-24 11:46:46	277.3630505050505
2015-11-24 11:48:26	273.5309595959596
2015-11-24 11:50:06	314.4353939393939
2015-11-24 11:51:46	277.5178787878788
2015-11-24 11:53:26	261.331202020202
2015-11-24 11:55:06	248.55540404040406
2015-11-24 11:56:46	274.4658080808081
2015-11-24 11:58:26	283.7140707070707
2015-11-24 12:00:06	267.17532323232325
2015-11-24 12:01:46	263.4395252525253
2015-11-24 12:03:26	298.2149292929293
2015-11-24 12:05:06	280.10544444444446
