time	Mesure température utile TIC0100
2015-11-24 07:34:30	1198.109393939394
2015-11-24 07:36:10	1195.2228282828282
2015-11-24 07:37:50	1181.3351515151517
2015-11-24 07:39:30	1186.0830303030305
2015-11-24 07:41:10	1193.4609090909091
2015-11-24 07:42:50	1190.5442424242424
2015-11-24 07:44:30	1194.909898989899
2015-11-24 07:46:10	1204.7282828282825
2015-11-24 07:47:50	1205.7819191919193
2015-11-24 07:49:30	1190.5610101010102
2015-11-24 07:51:10	1203.97
2015-11-24 07:52:50	1208.6053535353535
2015-11-24 07:54:30	1203.741616161616
2015-11-24 07:56:10	1196.9672727272728
2015-11-24 07:57:50	1200.8664646464647
2015-11-24 07:59:30	1203.5269696969697
2015-11-24 08:01:10	1190.7821212121212
2015-11-24 08:02:50	1189.1757575757574
2015-11-24 08:04:30	1192.739393939394
2015-11-24 08:06:10	1198.9581818181819
2015-11-24 08:07:50	1192.840909090909
2015-11-24 08:09:30	1163.238282828283
2015-11-24 08:11:10	1151.8078787878787
2015-11-24 08:12:50	1155.5868686868687
2015-11-24 08:14:30	1160.4521212121213
2015-11-24 08:16:10	1168.0393939393937
2015-11-24 08:17:50	1155.872121212121
2015-11-24 08:19:30	1119.8974747474745
2015-11-24 08:21:10	1116.680505050505
2015-11-24 08:22:50	1125.439595959596
2015-11-24 08:24:30	1129.7956565656566
2015-11-24 08:26:10	1112.1257575757575
2015-11-24 08:27:50	1117.740303030303
2015-11-24 08:29:30	1122.979191919192
2015-11-24 08:31:10	1137.9850505050506
2015-11-24 08:32:50	1138.259898989899
2015-11-24 08:34:30	1136.7251515151515
2015-11-24 08:36:10	1145.230707070707
2015-11-24 08:37:50	1161.6770707070705
2015-11-24 08:39:30	1148.6763636363637
2015-11-24 08:41:10	1155.2841414141417
2015-11-24 08:42:50	1163.9319191919192
2015-11-24 08:44:30	1174.0666666666666
2015-11-24 08:46:10	1178.990404040404
2015-11-24 08:47:50	1186.2644444444443
2015-11-24 08:49:30	1189.68898989899
2015-11-24 08:51:10	1183.318484848485
2015-11-24 08:52:50	1187.1090909090908
2015-11-24 08:54:30	1194.091818181818
2015-11-24 08:56:10	1192.1450505050504
2015-11-24 08:57:50	1183.728282828283
2015-11-24 08:59:30	1189.7827272727272
2015-11-24 09:01:10	1196.5622222222223
2015-11-24 09:02:50	1203.0965656565659
2015-11-24 09:04:30	1207.1353535353535
2015-11-24 09:06:10	1216.2679797979797
2015-11-24 09:07:50	1201.8621212121213
2015-11-24 09:09:30	1202.1124242424244
2015-11-24 09:11:10	1208.46
2015-11-24 09:12:50	1210.8741414141416
2015-11-24 09:14:30	1208.2968686868687
2015-11-24 09:16:10	1204.8548484848486
2015-11-24 09:17:50	1200.0857575757577
2015-11-24 09:19:30	1196.8990909090908
2015-11-24 09:21:10	1202.3034343434342
2015-11-24 09:22:50	1201.4746464646464
2015-11-24 09:24:30	1196.617878787879
2015-11-24 09:26:10	1200.3329292929293
2015-11-24 09:27:50	1202.3592929292931
2015-11-24 09:29:30	1189.6924242424243
2015-11-24 09:31:10	1182.4646464646464
2015-11-24 09:32:50	1184.4623232323233
2015-11-24 09:35:06	1184.169191919192
2015-11-24 09:36:46	1188.4292929292928
2015-11-24 09:38:26	1188.1484848484847
2015-11-24 09:40:06	1195.051212121212
2015-11-24 09:41:46	1184.4471717171718
2015-11-24 09:43:26	1181.160404040404
2015-11-24 09:45:06	1187.561919191919
2015-11-24 09:46:46	1193.0828282828284
2015-11-24 09:48:26	1190.97101010101
2015-11-24 09:50:06	1183.9810101010103
2015-11-24 09:51:46	1179.2561616161615
2015-11-24 09:53:26	1184.8459595959596
2015-11-24 09:55:06	1191.4621212121212
2015-11-24 09:56:46	1201.5375757575757
2015-11-24 09:58:26	1181.0204040404042
2015-11-24 10:00:06	1185.9017171717173
