time	Consigne en cours TIC0500
2015-11-24 07:34:30	1349.4072727272728
2015-11-24 07:36:10	1349.929191919192
2015-11-24 07:37:50	1350.0
2015-11-24 07:39:30	1350.0
2015-11-24 07:41:10	1348.4193939393942
2015-11-24 07:42:50	1350.0
2015-11-24 07:44:30	1350.0
2015-11-24 07:46:10	1349.9621212121212
2015-11-24 07:47:50	1347.5071717171716
2015-11-24 07:49:30	1350.0
2015-11-24 07:51:10	1350.0
2015-11-24 07:52:50	1349.1038383838384
2015-11-24 07:54:30	1349.7900000000002
2015-11-24 07:56:10	1350.0
2015-11-24 07:57:50	1350.0
2015-11-24 07:59:30	1348.0215151515151
2015-11-24 08:01:10	1350.0
2015-11-24 08:02:50	1350.0
2015-11-24 08:04:30	1350.0
2015-11-24 08:06:10	1349.1632323232323
2015-11-24 08:07:50	1349.4428282828283
2015-11-24 08:09:30	1350.0
2015-11-24 08:11:10	1350.0
2015-11-24 08:12:50	1350.0
2015-11-24 08:14:30	1348.3152525252524
2015-11-24 08:16:10	1350.0
2015-11-24 08:17:50	1350.0
2015-11-24 08:19:30	1350.0
2015-11-24 08:21:10	1349.670101010101
2015-11-24 08:22:50	1349.262424242424
2015-11-24 08:24:30	1350.0
2015-11-24 08:26:10	1350.0
2015-11-24 08:27:50	1350.0
2015-11-24 08:29:30	1349.2483838383835
2015-11-24 08:31:10	1350.0
2015-11-24 08:32:50	1350.0
2015-11-24 08:34:30	1349.9998989898988
2015-11-24 08:36:10	1349.4352525252527
2015-11-24 08:37:50	1350.0
2015-11-24 08:39:30	1350.0
2015-11-24 08:41:10	1349.5644444444445
2015-11-24 08:42:50	1349.7126262626261
2015-11-24 08:44:30	1350.0
2015-11-24 08:46:10	1350.0
2015-11-24 08:47:50	1349.1177777777777
2015-11-24 08:49:30	1350.0
2015-11-24 08:51:10	1350.0
2015-11-24 08:52:50	1350.1353535353537
2015-11-24 08:54:30	1348.3179797979797
2015-11-24 08:56:10	1350.0
2015-11-24 08:57:50	1350.0
2015-11-24 08:59:30	1350.0
2015-11-24 09:01:10	1350.0
2015-11-24 09:02:50	1350.1115151515153
2015-11-24 09:04:30	1348.8766666666666
2015-11-24 09:06:10	1350.0
2015-11-24 09:07:50	1350.0
2015-11-24 09:09:30	1348.4920202020205
2015-11-24 09:11:10	1349.9981818181818
2015-11-24 09:12:50	1350.0
2015-11-24 09:14:30	1350.0
2015-11-24 09:16:10	1349.1241414141416
2015-11-24 09:17:50	1350.0
2015-11-24 09:19:30	1350.0
2015-11-24 09:21:10	1350.0037373737373
2015-11-24 09:22:50	1348.4775757575758
2015-11-24 09:24:30	1350.0
2015-11-24 09:26:10	1350.0
2015-11-24 09:27:50	1345.2587878787879
2015-11-24 09:29:30	1340.0
2015-11-24 09:31:10	1340.0
2015-11-24 09:32:50	1339.4057575757577
2015-11-24 09:35:06	1339.228787878788
2015-11-24 09:36:46	1340.0
2015-11-24 09:38:26	1340.0565656565655
2015-11-24 09:40:06	1338.7366666666667
2015-11-24 09:41:46	1340.0
2015-11-24 09:43:26	1340.0
2015-11-24 09:45:06	1340.0
2015-11-24 09:46:46	1333.3761616161614
2015-11-24 09:48:26	1330.6421212121213
2015-11-24 09:50:06	1330.0
2015-11-24 09:51:46	1330.0
2015-11-24 09:53:26	1330.0367676767678
2015-11-24 09:55:06	1328.9058585858586
2015-11-24 09:56:46	1330.0
2015-11-24 09:58:26	1330.0
2015-11-24 10:00:06	1330.0
2015-11-24 10:01:46	1329.0577777777778
2015-11-24 10:03:26	1330.0
2015-11-24 10:05:06	1330.0
2015-11-24 10:06:46	1330.0
2015-11-24 10:08:26	1330.0
2015-11-24 10:10:06	1330.0320202020202
2015-11-24 10:11:46	1329.1832323232325
2015-11-24 10:13:26	1330.0
2015-11-24 10:15:06	1330.0
